Work experience,Education,Company size,Amount,Designation
4_to_6,bachelors_degree,100_to_500,90000,senior_software_engineer
1_to_3,bachelors_degree,more_than_500,90000,qa_engineer
1_to_3,bachelors_degree,100_to_500,90000,technical_lead
0_to_1,bachelors_degree,more_than_500,90000,software_engineer
1_to_3,bachelors_degree,100_to_500,90000,network_engineer
0_to_1,bachelors_degree,more_than_500,90000,architecture
7_to_9,bachelors_degree,more_than_500,90000,senior_software_engineer
1_to_3,bachelors_degree,100_to_500,90000,senior_software_engineer
1_to_3,bachelors_degree,more_than_500,100000,architecture
4_to_6,bachelors_degree,more_than_500,100000,software_engineer
0_to_1,bachelors_degree,more_than_500,100000,architecture
4_to_6,bachelors_degree,more_than_500,100000,senior_software_engineer
0_to_1,bachelors_degree,more_than_500,100000,software_engineer
4_to_6,bachelors_degree,more_than_500,100000,architecture
4_to_6,bachelors_degree,more_than_500,100000,technical_lead
1_to_3,bachelors_degree,more_than_500,100000,network_engineer
1_to_3,bachelors_degree,100_to_500,100000,technical_lead
1_to_3,bachelors_degree,100_to_500,100000,software_engineer
1_to_3,bachelors_degree,more_than_500,100000,software_engineer
0_to_1,bachelors_degree,more_than_500,100000,senior_software_engineer
7_to_9,bachelors_degree,more_than_500,100000,senior_software_engineer
1_to_3,bachelors_degree,100_to_500,100000,senior_software_engineer
1_to_3,bachelors_degree,more_than_500,100000,senior_software_engineer
1_to_3,bachelors_degree,more_than_500,110000,architecture
0_to_1,bachelors_degree,more_than_500,110000,software_engineer
0_to_1,bachelors_degree,more_than_500,110000,architecture
0_to_1,bachelors_degree,100_to_500,110000,network_engineer
0_to_1,bachelors_degree,100_to_500,110000,quality_assurance_lead
1_to_3,bachelors_degree,more_than_500,110000,network_engineer
7_to_9,bachelors_degree,more_than_500,110000,senior_software_engineer
1_to_3,bachelors_degree,more_than_500,120000,software_engineer
0_to_1,bachelors_degree,100_to_500,120000,software_engineer
1_to_3,bachelors_degree,more_than_500,120000,architecture
0_to_1,bachelors_degree,100_to_500,120000,technical_lead
4_to_6,bachelors_degree,more_than_500,130000,associate_technical_lead
0_to_1,bachelors_degree,more_than_500,130000,architecture
4_to_6,bachelors_degree,more_than_500,130000,architecture
1_to_3,bachelors_degree,more_than_500,140000,software_engineer
4_to_6,bachelors_degree,more_than_500,140000,software_engineer
1_to_3,bachelors_degree,more_than_500,140000,architecture
0_to_1,bachelors_degree,more_than_500,140000,architecture
0_to_1,bachelors_degree,100_to_500,140000,network_engineer
0_to_1,bachelors_degree,100_to_500,140000,technical_lead
1_to_3,bachelors_degree,more_than_500,150000,architecture
0_to_1,bachelors_degree,100_to_500,150000,software_engineer
0_to_1,bachelors_degree,100_to_500,150000,senior_software_engineer
0_to_1,bachelors_degree,more_than_500,160000,software_engineer
4_to_6,bachelors_degree,more_than_500,170000,associate_technical_lead
4_to_6,bachelors_degree,more_than_500,170000,software_engineer
0_to_1,bachelors_degree,100_to_500,170000,technical_lead
4_to_6,bachelors_degree,more_than_500,180000,associate_technical_lead
4_to_6,bachelors_degree,more_than_500,180000,software_engineer
0_to_1,bachelors_degree,100_to_500,180000,senior_software_engineer
1_to_3,bachelors_degree,more_than_500,190000,software_engineer
4_to_6,bachelors_degree,more_than_500,200000,senior_software_engineer
4_to_6,bachelors_degree,more_than_500,200000,architecture
4_to_6,bachelors_degree,more_than_500,210000,associate_technical_lead
4_to_6,bachelors_degree,more_than_500,210000,software_engineer
4_to_6,bachelors_degree,more_than_500,210000,architecture
0_to_1,bachelors_degree,100_to_500,210000,technical_lead
4_to_6,bachelors_degree,more_than_500,220000,associate_technical_lead
4_to_6,bachelors_degree,more_than_500,240000,senior_software_engineer
4_to_6,bachelors_degree,more_than_500,260000,architecture
4_to_6,bachelors_degree,more_than_500,310000,architecture
